Instance Type,vCPUs,Memory (GiB),Features,Family,CSP,Platform,Category,Min. CPU Architecture,Max. CPU Architecture,Min. Year,Max. Year,Link,,,,,
a1.2xlarge,8,16,#nolocalstorage,A1,AWS,Graviton,General Purpose,Graviton,Graviton,2018,2018,https://aws.amazon.com/blogs/aws/new-ec2-instances-a1-powered-by-arm-based-aws-graviton-processors/,,,,,
a1.4xlarge,16,32,#nolocalstorage,A1,AWS,Graviton,General Purpose,Graviton,Graviton,2018,2018,https://aws.amazon.com/blogs/aws/new-ec2-instances-a1-powered-by-arm-based-aws-graviton-processors/,,,,,
a1.large,2,4,#nolocalstorage,A1,AWS,Graviton,General Purpose,Graviton,Graviton,2018,2018,https://aws.amazon.com/blogs/aws/new-ec2-instances-a1-powered-by-arm-based-aws-graviton-processors/,,,,,
a1.medium,1,2,#nolocalstorage,A1,AWS,Graviton,General Purpose,Graviton,Graviton,2018,2018,https://aws.amazon.com/blogs/aws/new-ec2-instances-a1-powered-by-arm-based-aws-graviton-processors/,,,,,
a1.xlarge,4,8,#nolocalstorage,A1,AWS,Graviton,General Purpose,Graviton,Graviton,2018,2018,https://aws.amazon.com/blogs/aws/new-ec2-instances-a1-powered-by-arm-based-aws-graviton-processors/,,,,,
a2-highgpu-1g,12,85,#ssd #gpu,A2 series,GCP,Intel,Accelerated (GPU),Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/accelerator-optimized-machines#a2-standard-vms,,,,,
a2-highgpu-2g,24,170,#ssd #gpu,A2 series,GCP,Intel,Accelerated (GPU),Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/accelerator-optimized-machines#a2-standard-vms,,,,,
a2-highgpu-4g,48,340,#ssd #gpu,A2 series,GCP,Intel,Accelerated (GPU),Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/accelerator-optimized-machines#a2-standard-vms,,,,,
a2-highgpu-8g,96,680,#ssd #gpu,A2 series,GCP,Intel,Accelerated (GPU),Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/accelerator-optimized-machines#a2-standard-vms,,,,,
a2-megagpu-16g,96,1360,#ssd #gpu,A2 series,GCP,Intel,Accelerated (GPU),Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/accelerator-optimized-machines#a2-standard-vms,,,,,
a2-ultragpu-1g,12,170,#ssd #gpu,A2 ultra series,GCP,Intel,Accelerated (GPU),Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/accelerator-optimized-machines#a2-ultra-vms,,,,,
a2-ultragpu-2g,24,340,#ssd #gpu,A2 ultra series,GCP,Intel,Accelerated (GPU),Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/accelerator-optimized-machines#a2-ultra-vms,,,,,
a2-ultragpu-4g,48,680,#ssd #gpu,A2 ultra series,GCP,Intel,Accelerated (GPU),Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/accelerator-optimized-machines#a2-ultra-vms,,,,,
a2-ultragpu-8g,96,1360,#ssd #gpu,A2 ultra series,GCP,Intel,Accelerated (GPU),Cascade Lake,Cascade Lake,2019,2019,https://cloud.google.com/compute/docs/accelerator-optimized-machines#a2-ultra-vms,,,,,
c2d-highcpu-112,112,224,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-highcpu-16,16,32,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-highcpu-2,2,4,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-highcpu-32,32,64,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-highcpu-4,4,8,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-highcpu-56,56,112,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-highcpu-8,8,16,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
c2d-highmem-112,112,896,#ssd,C2D series,GCP,AMD,HPC Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://cloud.google.com/compute/docs/compute-optimized-machines#c2d_machine_types,,,,,
